JobName,NNodes,MaxVMSize,AveVMSize,MaxVMSizeNode,MaxVMSizeTask,MaxRSS,MaxRSSNode,MaxRSSTask,AveCPU,CPUTime,CPUTimeRAW,Elapsed,Start,End,State,
batch,1,499428K,499428K,sdumont3180,0,8224K,sdumont3180,0,00:00:00,00:21:12,1272,00:00:53,2022-11-18T13:15:29,2022-11-18T13:16:22,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956128K,956128K,sdumont3180,0,46272K,sdumont3180,0,00:05:54,00:21:12,1272,00:00:53,2022-11-18T13:15:29,2022-11-18T13:16:22,COMPLETED,
100bs-12th-aminoacido,1,,,,,,,,,00:21:12,1272,00:00:53,2022-11-18T13:16:18,2022-11-18T13:17:11,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8236K,sdumont3185,0,00:00:00,00:21:12,1272,00:00:53,2022-11-18T13:16:18,2022-11-18T13:17:11,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956132K,956132K,sdumont3185,0,46116K,sdumont3185,0,00:05:46,00:21:12,1272,00:00:53,2022-11-18T13:16:18,2022-11-18T13:17:11,COMPLETED,
1000bs-12th-aminoacido,1,,,,,,,,,03:21:36,12096,00:08:24,2022-11-18T13:16:22,2022-11-18T13:24:46,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8228K,sdumont3180,0,00:00:00,03:21:36,12096,00:08:24,2022-11-18T13:16:22,2022-11-18T13:24:46,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956144K,956144K,sdumont3180,0,46384K,sdumont3180,0,01:35:51,03:21:36,12096,00:08:24,2022-11-18T13:16:22,2022-11-18T13:24:46,COMPLETED,
1000bs-12th-aminoacido,1,,,,,,,,,03:23:36,12216,00:08:29,2022-11-18T13:17:12,2022-11-18T13:25:41,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8228K,sdumont3185,0,00:00:00,03:23:36,12216,00:08:29,2022-11-18T13:17:12,2022-11-18T13:25:41,COMPLETED,
